Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Act 2 - Tomb 1 Treasure	59	1	1			41	200	200	200	200	200	200	3000	2200		1				1	1	1		1	1	17	-1	-1	-1	-1	55								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	12	37	62	12	44	85	10000	10000	10000		1		1	1	2	1		3	skeleton5	scarab1	skmage_pois3																								skeleton5	scarab1	skmage_pois3																							skeleton5	scarab1	skmage_pois3																							rat	bat	scorpion		30	30	20						60	19	255	Stony Tomb Level 2	To The Stony Tomb Level 2	A2L20	19	29	24						10	30	45						0
Act 2 - Tomb 2 Treasure	60	1	1			42	200	200	200	200	200	200	3000	2500		1				1	1	1		1	1	17	-1	-1	-1	-1	57								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	13	38	63	13	45	85	10000	10000	10000		1		1	1	2	1		3	mummy2	unraveler1	unraveler1	batdemon1	slinger2																						mummy2	unraveler1	unraveler1	batdemon1	slinger2																					mummy2	unraveler1	unraveler1	batdemon1	slinger2																					rat	bat	scorpion		30	30	20						60	19	255	Halls of the Dead Level 3	To The Halls of the Dead Level 3	A2L21	19	29	24						10	30	45						0
Act 2 - Tomb 3 Treasure	61	1	1			43	200	200	200	200	200	200	3000	2800		1				1	1	1		1	1	17	-1	-1	-1	-1	58								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	14	39	64	14	47	85	10000	10000	10000		1		1	1	2	1		3	clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																					clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																				clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																				rat	bat	scorpion		30	30	20						60	19	255	Claw Viper Temple Level 2	To The Claw Viper Temple Level 2	A2L22	19	29	24						10	30	45						0
Act 2 - Lair 1 A	62	1	1			44	200	200	200	200	200	200	3500	1000		1				1	1	1		1	1	18	-1	-1	-1	-1	43	63							48	49	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	45	85	4950	4950	4950		2	3	4	5	6	1		3	sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																						sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					rat	bat	scorpion		30	30	20						8	20	255	Maggot Lair Level 1	To The Maggot Lair Level 1	A2L23	35	29							50	35							0
Act 2 - Lair 1 B	63	1	1			45	200	200	200	200	200	200	3500	1300		1				1	1	1		1	1	18	-1	-1	-1	-1	62	64							48	49	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	45	85	4950	4950	4950		2	3	4	5	6	1		3	sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																						sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					rat	bat	scorpion		30	30	20						8	20	255	Maggot Lair Level 2	To The Maggot Lair Level 2	A2L24	35	29							65	35							0
Act 2 - Lair 1 Treasure	64	1	1			46	200	200	200	200	200	200	3500	1600		1				1	1	1		1	1	18	-1	-1	-1	-1	63								48	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	46	85	4950	4950	4950		2	2	3	4	5	1		3	sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																						sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					rat	bat	scorpion		30	30	20						8	20	255	Maggot Lair Level 3	To The Maggot Lair Level 3	A2L25	35	29							80	55							0
Act 2 - Sewer 2 A	65	1	1			47	200	200	200	200	200	200	4000	1000		1				1	1	1		1	1	13	-1	-1	-1	-1	44								22	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	46	85	3400	3400	3400		2	3	4	6	8	1		3	zombie5	sandraider3	mummy3	skmage_ltng4																							zombie5	sandraider3	mummy3	skmage_ltng4																						zombie5	sandraider3	mummy3	skmage_ltng4																						rat	bat	scorpion		30	100	20						8	15	255	Ancient Tunnels	To The Ancient Tunnels	A2L26	29								55								0
Act 2 - Tomb Tal 1	66	1	1	13	13	48	200	200	200	200	200	200	4500	1000		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	82	10000	10000	10000		2	4	6	7	9	1		3	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Act 2 - Tomb Tal 2	67	1	1	13	13	49	200	200	200	200	200	200	4500	1300		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	82	10000	10000	10000		2	4	6	7	9	1		3	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Act 2 - Tomb Tal 3	68	1	1	13	13	50	200	200	200	200	200	200	4500	1600		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	82	10000	10000	10000		2	4	6	7	9	1		3	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
